L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,610.175815,1.635512,0.818440,0.470000,0.290000,2.031000,2.167000,3062.033203,1036.419067,13.913751,12.278000,0.516017,0.030966,1.087294,31.486121,1.889459,66.344056
200,580.650578,1.718807,0.889350,0.600000,0.410000,2.048000,2.146000,5283.668457,1303.006104,26.030500,24.343000,0.652881,0.102248,0.961299,37.909581,5.937019,55.817879
300,506.293195,1.971768,0.918220,0.670000,0.500000,2.367000,2.508000,7389.131348,1566.030029,38.390125,36.688000,0.764985,0.196422,1.006994,38.730662,9.944705,50.983421
400,427.462438,2.336037,0.934910,0.720000,0.550000,2.796000,2.944000,9396.541016,1820.356079,50.808628,49.027000,0.931381,0.331703,1.068405,39.813018,14.179075,45.670317
500,370.799417,2.693450,0.945390,0.750000,0.560000,3.222000,3.396000,11315.000000,2059.492188,63.251129,61.530000,1.085726,0.489217,1.113125,40.258666,18.140131,41.274596
600,320.414062,3.117599,0.952430,0.780000,0.580000,3.721000,3.935000,13166.853516,2288.993164,75.750504,73.947000,1.280838,0.675589,1.154601,41.039851,21.646817,36.995050
700,280.122700,3.566510,0.958980,0.800000,0.620000,4.231000,4.488000,14981.161133,2512.843018,88.266632,86.470000,1.468078,0.900315,1.190367,41.124201,25.219861,33.344875
800,246.643124,4.051064,0.963510,0.820000,0.670000,4.855000,5.027000,16746.498047,2733.951172,100.695381,98.844000,1.688206,1.133643,1.220418,41.638445,27.960517,30.100776
900,216.979422,4.605371,0.966850,0.830000,0.690000,5.499000,5.811000,18472.376953,2945.705078,113.161507,111.405000,1.916506,1.419754,1.259073,41.584243,30.805741,27.319304
1000,193.478345,5.165150,0.969810,0.850000,0.690000,6.181000,6.442000,20160.914062,3152.125244,125.649506,123.821000,2.141228,1.728564,1.284255,41.428120,33.443961,24.847554
1500,108.001994,9.255733,0.978450,0.890000,0.750000,11.080001,11.992001,28211.535156,4145.177246,187.931503,186.107000,4.164326,3.597185,1.476977,44.975556,38.850317,15.951645
2000,76.412754,13.083474,0.983240,0.920000,0.800000,15.624001,16.536001,35765.441406,5064.014160,250.378143,248.493000,5.275983,6.160677,1.623249,40.315236,47.075429,12.403693
2500,55.533072,18.003931,0.986300,0.930000,0.820000,21.386002,22.631001,42941.855469,5938.813477,312.839630,311.045000,6.747433,9.440353,1.786344,37.470568,52.425178,9.920117
3000,41.547208,24.065659,0.988220,0.940000,0.840000,28.561001,30.234001,49838.910156,6765.757324,375.295532,373.397000,8.552969,13.471784,2.004210,35.535198,55.971500,8.326935
3500,30.033436,33.292892,0.989760,0.950000,0.850000,39.890003,42.878002,56522.058594,7566.628418,437.765259,435.972000,12.694530,18.280122,2.274766,38.126035,54.901486,6.831905
4000,31.267789,31.978481,0.991010,0.960000,0.870000,38.636002,42.397003,63005.601562,8343.889648,500.254272,498.344000,6.081244,23.701258,2.152208,19.014706,74.108594,6.729477
4500,24.362713,41.038391,0.991930,0.960000,0.880000,48.152000,52.685001,69323.164062,9095.255859,562.731873,560.933000,8.766466,29.853688,2.370132,21.357491,72.731685,5.774284
5000,20.776108,48.124493,0.992630,0.970000,0.890000,56.099003,60.203003,75489.531250,9828.583984,625.215515,623.318000,8.998961,36.604322,2.467610,18.696338,76.049536,5.126734
5500,17.346010,57.642403,0.993170,0.970000,0.900000,67.379005,72.324005,81551.203125,10544.695312,687.694763,685.892000,10.561660,44.344245,2.676870,18.320267,76.919573,4.643301
6000,15.249986,65.566422,0.993690,0.970000,0.900000,76.084007,79.791000,87488.304688,11248.444336,750.183533,748.275000,9.656493,53.069727,2.774777,14.726137,80.931257,4.231531
