L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,606.242944,1.646080,0.963440,0.820000,0.650000,1.918000,2.039000,17664.576172,2545.258057,106.164505,1.000000,0.838382,0.011403,0.796075,50.826332,0.691275,48.261477
120,533.888944,1.869666,0.969220,0.840000,0.690000,2.196000,2.328000,20204.486328,2892.533203,125.721504,1.000000,1.049847,0.014201,0.805420,56.050165,0.758159,43.000466
140,492.298117,2.027964,0.972520,0.860000,0.720000,2.418000,2.605000,22676.966797,3244.655273,145.324005,1.000000,1.190113,0.017165,0.820376,58.589054,0.845039,40.386952
160,468.595519,2.130692,0.975560,0.870000,0.710000,2.547000,2.659000,25059.056641,3560.115234,165.001633,1.000000,1.285230,0.020399,0.824835,60.225298,0.955892,38.651379
180,450.428733,2.216754,0.977970,0.890000,0.740000,2.656000,2.847000,27387.400391,3879.702148,184.771255,1.000000,1.352633,0.023750,0.840047,60.926488,1.069771,37.838147
200,433.129419,2.305446,0.979790,0.900000,0.750000,2.811000,2.995000,29652.574219,4181.020996,204.680878,1.000000,1.431762,0.027939,0.845468,62.013823,1.210134,36.619698
220,414.268545,2.410535,0.981590,0.910000,0.770000,2.948000,3.198000,31908.677734,4482.864258,224.470383,1.000000,1.522450,0.031601,0.856220,63.070313,1.309148,35.470521
240,400.302504,2.494794,0.982960,0.910000,0.780000,3.057000,3.221000,34137.996094,4792.643066,244.491882,1.000000,1.592475,0.035196,0.866804,63.747171,1.408917,34.698367
260,385.278306,2.592145,0.984190,0.920000,0.800000,3.159000,3.398000,36306.792969,5088.421387,264.285645,1.000000,1.680210,0.039408,0.872255,64.734832,1.518322,33.606087
280,374.054735,2.670055,0.985120,0.920000,0.800000,3.272000,3.502000,38462.781250,5381.185059,284.121277,1.000000,1.744691,0.043773,0.881270,65.260989,1.637365,32.964319
300,359.615787,2.777443,0.985800,0.930000,0.820000,3.447000,3.712000,40593.281250,5674.677246,304.072266,1.000000,1.838378,0.047809,0.890928,66.110973,1.719274,32.039161
320,346.973216,2.878725,0.986550,0.940000,0.840000,3.533000,3.780000,42717.937500,5960.485352,323.961884,1.000000,1.930125,0.052934,0.895327,66.970184,1.836674,31.065452
340,337.625574,2.958479,0.987540,0.940000,0.840000,3.643000,3.894000,44778.746094,6238.444336,343.830780,1.000000,1.999142,0.057894,0.901093,67.496144,1.954665,30.423220
360,327.497066,3.050123,0.987980,0.940000,0.840000,3.736000,3.986000,46819.683594,6517.463379,363.703644,1.000000,2.083805,0.062482,0.903471,68.243989,2.046271,29.588410
380,318.860212,3.132824,0.988480,0.940000,0.840000,3.845000,4.116000,48855.203125,6796.129395,383.608887,1.000000,2.154873,0.068238,0.909366,68.710338,2.175847,28.996053
400,310.598068,3.216233,0.989020,0.950000,0.850000,3.966000,4.410000,50852.179688,7074.620117,403.445526,1.000000,2.230902,0.072900,0.912085,69.291391,2.264262,28.329178
420,300.144448,3.328388,0.989390,0.950000,0.850000,4.187000,4.501000,52851.464844,7350.835449,423.373260,1.000000,2.325402,0.079322,0.923287,69.795643,2.380802,27.711937
440,293.279548,3.406359,0.990020,0.950000,0.850000,4.235000,4.539000,54801.566406,7602.009277,443.254028,1.000000,2.399658,0.084963,0.921337,70.377074,2.491779,27.020920
460,286.361469,3.488734,0.990350,0.950000,0.860000,4.316000,4.765000,56770.191406,7876.295410,463.196136,1.000000,2.472771,0.091195,0.924376,70.810632,2.611463,26.470581
480,278.367642,3.589018,0.990650,0.960000,0.870000,4.477000,4.791000,58683.660156,8141.545410,483.138397,1.000000,2.563921,0.097266,0.927402,71.371257,2.707563,25.815885
500,272.758163,3.662887,0.990980,0.960000,0.870000,4.623000,5.005000,60607.257812,8404.695312,503.085510,1.000000,2.631943,0.104137,0.926314,71.788380,2.840420,25.265980
520,268.022876,3.727690,0.991390,0.960000,0.870000,4.646000,4.977000,62483.261719,8652.704102,523.023010,1.000000,2.692510,0.108675,0.926063,72.165424,2.912726,24.820596
540,259.219531,3.854378,0.991620,0.960000,0.880000,4.819000,5.246000,64374.941406,8935.693359,543.031677,1.000000,2.800956,0.117600,0.935410,72.606263,3.048421,24.247642
560,255.037933,3.917641,0.991860,0.960000,0.880000,4.968000,5.277000,66244.164062,9156.102539,563.024170,1.000000,2.862005,0.122783,0.932384,72.991990,3.131437,23.779323
580,248.649721,4.018360,0.992040,0.960000,0.880000,5.092000,5.464000,68079.218750,9418.008789,582.974304,1.000000,2.948484,0.131920,0.937497,73.313965,3.280196,23.310840
600,224.596414,4.449088,0.992310,0.970000,0.880000,5.778000,6.511000,69918.156250,9663.907227,602.853638,1.000000,3.367208,0.139057,0.942286,75.626274,3.123169,21.163406
620,238.337948,4.192367,0.992510,0.960000,0.890000,5.288000,5.719000,71746.398438,9897.592773,622.808411,1.000000,3.115381,0.146488,0.930019,74.251363,3.491369,22.165880
