L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,568.364359,1.756071,0.960230,0.820000,0.650000,2.176000,2.312000,15018.395508,2471.881104,91.080376,1.025000,0.796644,0.010273,0.949051,45.278404,0.583866,53.940684
120,566.820837,1.760866,0.967340,0.840000,0.700000,2.181000,2.413000,17643.378906,2819.453125,110.660255,1.032000,0.801342,0.012876,0.946578,45.421748,0.729827,53.654015
140,551.146485,1.811057,0.971510,0.860000,0.710000,2.220000,2.332000,20159.525391,3157.826172,130.388260,1.028000,0.849528,0.015272,0.946171,46.821428,0.841706,52.147871
160,524.945718,1.901593,0.974670,0.870000,0.740000,2.332000,2.446000,22645.228516,3494.571045,150.132507,1.024000,0.921652,0.017796,0.962044,48.381744,0.934208,50.502063
180,496.628098,2.010241,0.977360,0.880000,0.740000,2.484000,2.626000,25090.994141,3824.287109,170.016876,1.015000,1.013693,0.020577,0.975835,50.342824,1.021909,48.462689
200,451.025058,2.213816,0.979040,0.900000,0.750000,2.737000,5.799000,27500.564453,4153.265137,190.421127,1.018000,1.192932,0.023287,0.997504,53.804207,1.050315,44.989908
220,395.913302,2.522491,0.980550,0.900000,0.760000,3.213000,3.530000,29871.662109,4481.731445,210.592255,1.015000,1.476076,0.027069,1.019250,58.439798,1.071692,40.353469
240,428.183261,2.332101,0.982090,0.910000,0.780000,2.913000,3.134000,32182.281250,4776.510254,231.000885,1.026000,1.295386,0.029729,1.006868,55.466243,1.272941,43.112387
260,409.358943,2.439506,0.983330,0.920000,0.780000,3.069000,3.420000,34446.375000,5089.555176,251.119019,1.027000,1.393044,0.033842,1.012491,57.025482,1.385356,41.447234
280,393.824165,2.535876,0.984440,0.920000,0.810000,3.165000,3.425000,36649.183594,5380.263184,271.166260,1.020000,1.473171,0.037205,1.025384,58.017034,1.465222,40.382098
300,388.896114,2.568096,0.985270,0.930000,0.790000,3.204000,3.447000,38825.707031,5666.125488,291.363007,1.014000,1.494770,0.041281,1.031952,58.131017,1.605401,40.132227
320,302.973339,3.297297,0.986180,0.930000,0.810000,4.360000,4.920000,40964.437500,5965.146484,311.014771,1.018000,2.182210,0.044964,1.069995,66.115158,1.362299,32.417994
340,353.837339,2.822830,0.986940,0.930000,0.830000,3.642000,3.900000,43053.613281,6240.229492,331.106506,1.019000,1.773980,0.049856,0.998920,62.770033,1.764090,35.345535
360,342.690412,2.914724,0.987640,0.940000,0.840000,3.841000,4.395000,45113.429688,6513.557129,350.968628,1.012000,1.850795,0.053305,1.010522,63.424963,1.826716,34.629616
380,330.265399,3.024530,0.988410,0.940000,0.840000,3.923000,4.317000,47130.839844,6788.665527,370.800903,1.021000,1.953004,0.057783,1.013653,64.500976,1.908369,33.477460
400,298.004668,3.352302,0.988840,0.950000,0.850000,4.573000,5.015000,49135.890625,7047.731445,390.498383,1.019000,2.255447,0.062701,1.034008,67.213371,1.868504,30.813922
420,317.974745,3.141504,0.989290,0.950000,0.860000,4.021000,4.376000,51128.007812,7322.326172,410.321136,1.023000,2.053149,0.066288,1.021932,65.284937,2.107783,32.494853
440,231.958144,4.307791,0.989810,0.950000,0.860000,5.803000,6.612000,53094.074219,7589.013184,429.944397,1.014000,3.163799,0.072558,1.071283,73.386884,1.683040,24.849278
460,288.979157,3.457070,0.990200,0.950000,0.870000,4.602000,5.157000,55022.980469,7836.801270,449.828522,1.020000,2.351448,0.077302,1.028209,67.951941,2.233852,29.713103
480,268.131605,3.726164,0.990580,0.950000,0.860000,4.998000,5.569000,56953.972656,8097.402344,469.563141,1.022000,2.601883,0.081728,1.042418,69.764698,2.191392,27.950521
500,277.584093,3.599140,0.991020,0.960000,0.870000,4.711000,5.175000,58849.570312,8345.101562,489.396759,1.019000,2.482837,0.086727,1.029480,68.919611,2.407401,28.576740
520,286.969197,3.481279,0.991240,0.960000,0.870000,4.442000,4.805000,60760.070312,8600.796875,509.209656,1.019000,2.358585,0.094333,1.028272,67.684121,2.707078,29.508250
540,283.560362,3.523230,0.991620,0.960000,0.880000,4.450000,4.824000,62576.824219,8846.935547,529.076538,1.014000,2.390362,0.100105,1.032625,67.781199,2.838589,29.281164
560,278.251210,3.590529,0.991790,0.960000,0.880000,4.555000,4.992000,64438.363281,9097.459961,548.854797,1.013000,2.455757,0.106500,1.028169,68.331746,2.963386,28.608925
580,272.418344,3.667459,0.992060,0.960000,0.880000,4.637000,4.972000,66282.773438,9341.639648,568.645386,1.018000,2.521934,0.112747,1.032665,68.702116,3.071427,28.131689
600,265.108094,3.768703,0.992300,0.960000,0.890000,4.833000,5.132000,68099.226562,9574.713867,588.369751,1.018000,2.611771,0.118923,1.037922,69.240153,3.152744,27.516143
620,260.982301,3.828350,0.992470,0.970000,0.890000,4.902000,5.357000,69936.242188,9829.186523,608.167297,1.010000,2.668939,0.124306,1.034961,69.654587,3.244178,27.010662
640,218.944719,4.563950,0.992660,0.970000,0.880000,6.630000,7.578001,71739.640625,10073.844727,628.020142,1.010000,3.367254,0.129607,1.066984,73.724238,2.837681,23.361055
660,229.900769,4.346346,0.992780,0.970000,0.890000,7.266000,8.160001,73548.320312,10305.769531,647.803650,1.008000,3.154698,0.140434,1.051127,72.526742,3.228578,24.165501
680,281.259999,3.552052,0.993050,0.970000,0.900000,4.407000,4.637000,75317.703125,10531.717773,667.674377,1.010000,2.387784,0.146003,1.018191,67.158826,4.106474,28.637629
700,275.442427,3.627137,0.993250,0.970000,0.900000,4.505000,4.690000,77096.023438,10772.055664,687.489929,1.010000,2.452138,0.153656,1.021246,67.542289,4.232325,28.129453
