L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,930.03,1.07434,0.95966,0.81,0.64,1.202,1.258,16121.1,2197.73,0,0.368387,0.0105813,0.692235,34.2897,0.984907,64.4335
120,873.115,1.1443,0.96632,0.83,0.69,1.29,1.333,18563,2511.2,0,0.415748,0.0114956,0.713626,36.3319,1.00459,62.3633
140,849.44,1.1762,0.97012,0.85,0.69,1.343,1.408,20836,2797.33,0,0.456857,0.0111206,0.704282,38.8418,0.945464,59.8777
160,806.9,1.2383,0.97375,0.87,0.71,1.431,1.481,23149.8,3098.89,0,0.504641,0.0113914,0.718702,40.7526,0.91992,58.0392
180,781.363,1.27875,0.9766,0.88,0.73,1.485,1.548,25353,3377.35,0,0.548548,0.0113051,0.714543,42.8973,0.884076,55.8784
200,744.79,1.34163,0.97849,0.89,0.76,1.57,1.643,27453.4,3655.66,0,0.601573,0.0118628,0.725275,44.8389,0.884204,54.0592
220,730.432,1.36802,0.98,0.9,0.76,1.613,1.699,29515.4,3919.95,0,0.639678,0.0114491,0.714971,46.7595,0.836913,52.2633
240,698.054,1.4315,0.98125,0.91,0.77,1.692,1.778,31644.1,4191.59,0,0.689638,0.0117424,0.72822,48.1759,0.820282,50.8711
260,675.718,1.47878,0.9828,0.92,0.79,1.768,1.855,33590.2,4442.95,0,0.730854,0.0117145,0.734144,49.4227,0.792169,49.6452
280,650.878,1.53537,0.98398,0.92,0.8,1.832,1.935,35633,4707.43,0,0.779996,0.0121627,0.740605,50.8019,0.792167,48.2363
300,632.285,1.58058,0.98479,0.92,0.8,1.897,1.996,37648.1,4963.75,0,0.81988,0.0116713,0.746286,51.872,0.738419,47.2159
320,609.676,1.63929,0.98582,0.93,0.82,1.973,2.065,39626.5,5218.68,0,0.86617,0.011807,0.75854,52.8381,0.720249,46.2725
340,592.905,1.68565,0.98645,0.93,0.82,2.052,2.132,41425.5,5452.8,0,0.909528,0.0118816,0.761342,53.9571,0.704867,45.1661
360,579.299,1.72528,0.98715,0.94,0.83,2.099,2.218,43450.6,5716.73,0,0.948872,0.0118909,0.761526,54.9983,0.689217,44.1394
380,559.652,1.78588,0.98788,0.93,0.84,2.176,2.308,45340.1,5959.62,0,0.997699,0.0121067,0.773183,55.8659,0.677909,43.2942
400,545.03,1.83383,0.9883,0.94,0.84,2.234,2.378,47110.3,6185.81,0,1.0423,0.0121684,0.776296,56.8375,0.66355,42.3319
420,532.493,1.87701,0.98862,0.95,0.84,2.299,2.427,48915.9,6418.72,0,1.0821,0.0119627,0.779947,57.6502,0.637324,41.5526
440,516.11,1.93661,0.98935,0.95,0.85,2.37,2.509,50940.4,6686.32,0,1.13319,0.0122528,0.788057,58.5142,0.632693,40.6926
460,506.931,1.97172,0.98962,0.95,0.85,2.432,2.577,52627.6,6902.77,0,1.17005,0.0119455,0.786803,59.3416,0.605842,39.9045
480,496.563,2.01287,0.99,0.95,0.86,2.504,2.631,54357.3,7126.02,0,1.20815,0.011852,0.790096,60.0212,0.588813,39.2523
500,481.383,2.07642,0.99063,0.96,0.86,2.571,2.705,56175.1,7350.5,0,1.2615,0.0122185,0.8,60.7539,0.58844,38.5279
520,472.273,2.11639,0.99082,0.95,0.87,2.634,2.772,57848.1,7589.98,0,1.30329,0.0121737,0.798183,61.5808,0.575208,37.7143
540,461.877,2.16395,0.9911,0.96,0.87,2.692,2.823,59596.2,7809.69,0,1.345,0.0122416,0.803957,62.1547,0.565706,37.1523
560,454.116,2.20112,0.99135,0.96,0.87,2.753,2.907,61347.7,8035.22,0,1.38235,0.0120647,0.804017,62.8022,0.548117,36.5277
580,444.319,2.24972,0.99162,0.96,0.87,2.818,2.948,62913,8229.83,0,1.42352,0.0120053,0.811606,63.2753,0.533637,36.0759
600,433.943,2.30349,0.99177,0.96,0.89,2.877,3.021,64716.6,8480.31,0,1.47418,0.0121732,0.814502,63.9979,0.528467,35.3595
620,426.234,2.34516,0.99212,0.96,0.89,2.932,3.11,66498.4,8705.09,0,1.51638,0.0121126,0.814035,64.6603,0.516495,34.7113
640,408.369,2.44772,0.99236,0.96,0.89,3.064,3.284,68312,8951.74,0,1.6087,0.012249,0.822106,65.7223,0.500425,33.5866
660,404.199,2.47309,0.99249,0.96,0.89,3.112,3.32,69811.6,9143.7,0,1.63897,0.0120702,0.819682,66.2723,0.488061,33.1441
680,393.064,2.54314,0.99275,0.97,0.89,3.192,3.425,71633.6,9389.71,0,1.70368,0.0121443,0.824953,66.9914,0.477533,32.4384
700,391.47,2.55342,0.99274,0.97,0.89,3.23,3.444,73110.7,9568.46,0,1.71285,0.0121212,0.825538,67.0804,0.474704,32.3306
