L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,2043.520889,0.488779,0.827490,0.610000,0.530000,0.590000,0.639000,3694.837158,574.665039,14.758125,15.865000,0.395412,0.052759,0.039561,80.803359,10.781447,8.084331
125,1712.819135,0.583213,0.860050,0.660000,0.580000,0.706000,0.754000,4282.075195,648.900024,17.661501,18.731000,0.466184,0.073857,0.041838,79.848952,12.650298,7.166081
150,1492.946443,0.669260,0.883870,0.700000,0.610000,0.801000,0.839000,4856.876465,720.495056,20.638626,21.608000,0.528932,0.095791,0.042946,78.966765,14.301063,6.411587
175,1312.449185,0.761338,0.901310,0.730000,0.640000,0.917000,0.952000,5419.617188,789.736023,23.619877,24.498000,0.593525,0.121394,0.044506,77.897100,15.932335,5.841165
200,1167.144179,0.856226,0.915240,0.760000,0.670000,1.023000,1.073000,5977.523438,862.804016,26.640001,27.497000,0.658862,0.148343,0.046884,76.898680,17.313721,5.472018
225,1049.820793,0.951928,0.926160,0.780000,0.690000,1.137000,1.189000,6525.781250,932.401062,29.655376,30.478000,0.723258,0.177141,0.049116,75.929156,18.596675,5.156289
250,954.793728,1.046786,0.935050,0.800000,0.720000,1.256000,1.299000,7068.990234,1002.238037,32.691002,33.524000,0.788952,0.204330,0.050889,75.328653,19.509320,4.858851
275,871.701726,1.146569,0.941590,0.820000,0.740000,1.383000,1.433000,7598.452148,1067.935059,35.728252,36.568000,0.854491,0.235942,0.053381,74.486128,20.567137,4.653249
300,802.382229,1.245697,0.947790,0.830000,0.750000,1.483000,1.543000,8128.993164,1135.226074,38.783501,39.607000,0.917451,0.269760,0.055395,73.614611,21.645074,4.444787
325,739.614470,1.351451,0.952740,0.840000,0.760000,1.617000,1.716000,8640.340820,1198.591064,41.827503,42.613000,0.981406,0.308684,0.057881,72.586188,22.830688,4.280971
350,688.953229,1.450866,0.957160,0.850000,0.780000,1.726000,1.805000,9149.114258,1263.982056,44.903252,45.680000,1.040288,0.346494,0.060390,71.670959,23.871797,4.160605
375,641.528084,1.558184,0.961130,0.860000,0.780000,1.856000,1.942000,9652.926758,1327.845093,47.996628,48.702000,1.106169,0.385962,0.062114,70.963832,24.760532,3.984772
400,604.778201,1.652903,0.964270,0.870000,0.790000,1.964000,2.022000,10136.483398,1388.793091,51.045876,51.689000,1.161946,0.420746,0.066041,70.271950,25.445777,3.994044
425,567.067966,1.762841,0.967030,0.870000,0.800000,2.091000,2.173000,10633.303711,1451.834106,54.154003,54.818000,1.224194,0.467158,0.067052,69.420123,26.491011,3.802311
450,532.471720,1.877405,0.969220,0.880000,0.810000,2.219000,2.284000,11115.746094,1511.813110,57.232376,57.931000,1.288268,0.513736,0.070562,68.596607,27.355002,3.757234
475,504.717593,1.980747,0.971410,0.890000,0.810000,2.357000,2.419000,11594.132812,1572.229126,60.324001,61.024000,1.346722,0.556636,0.072284,67.971423,28.094415,3.648276
500,474.900762,2.105105,0.973340,0.900000,0.820000,2.495000,2.564000,12068.254883,1632.252075,63.429626,64.161000,1.409342,0.616184,0.074325,66.929739,29.262625,3.529693
525,452.904495,2.207352,0.975120,0.900000,0.840000,2.608000,2.690000,12536.502930,1689.872070,66.531128,67.232000,1.464893,0.659166,0.077913,66.345678,29.853940,3.528728
550,430.943947,2.319886,0.976660,0.910000,0.840000,2.746000,2.831000,12994.283203,1747.405029,69.619125,70.279000,1.526382,0.709043,0.078622,65.778507,30.555759,3.388182
575,410.949744,2.432813,0.978190,0.910000,0.850000,2.878000,2.954000,13450.487305,1803.984131,72.712631,73.303000,1.582202,0.763539,0.081264,65.020559,31.377599,3.339553
600,394.742482,2.532701,0.979570,0.920000,0.870000,3.008000,3.094000,13901.798828,1859.614136,75.829254,76.405000,1.639083,0.803219,0.084258,64.701566,31.706469,3.326024
650,364.712754,2.740968,0.982010,0.920000,0.880000,3.243000,3.354000,14792.986328,1970.782104,82.010757,82.656000,1.748878,0.896858,0.088700,63.783829,32.709546,3.235004
700,331.946642,3.011965,0.983930,0.930000,0.890000,3.557000,3.640000,15669.487305,2080.236084,88.226501,88.895000,1.867312,1.044162,0.093276,61.984793,34.660600,3.096258
750,308.222536,3.243803,0.985450,0.940000,0.890000,3.810000,3.931000,16532.240234,2184.791992,94.450508,95.074000,1.977254,1.161238,0.097548,60.943436,35.791963,3.006649
800,283.578054,3.525787,0.986690,0.940000,0.890000,4.153000,4.271000,17378.341797,2291.696045,100.668007,101.205000,2.093866,1.320187,0.103465,59.377448,37.437615,2.934049
850,263.632900,3.792550,0.987840,0.950000,0.900000,4.427000,4.558000,18205.867188,2396.171143,106.869759,107.491000,2.205378,1.470873,0.107549,58.141027,38.777055,2.835350
900,246.600353,4.054547,0.988870,0.950000,0.900000,4.752000,4.863000,19017.941406,2495.875000,113.088509,113.714000,2.317532,1.614594,0.112906,57.150422,39.815956,2.784271
950,231.212909,4.324422,0.989730,0.950000,0.910000,5.066000,5.206000,19821.771484,2594.735107,119.309509,119.870000,2.426236,1.770134,0.117982,56.097701,40.927794,2.727889
1000,218.645972,4.572983,0.990400,0.960000,0.910000,5.340000,5.487000,20617.515625,2695.275146,125.539253,126.026000,2.530163,1.911066,0.121566,55.320996,41.784695,2.657993
