L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,707.222768,1.413405,0.986150,0.940000,0.890000,1.885000,1.978000,17097.175781,2437.258057,101.220253,1.000000,1.361648,0.010263,0.041543,96.298836,0.725803,2.937982
125,598.602986,1.669954,0.990110,0.950000,0.910000,2.234000,2.351000,20120.941406,2829.832031,125.928635,1.000000,1.612095,0.013710,0.044133,96.500467,0.820700,2.641840
150,523.675459,1.909002,0.992420,0.960000,0.920000,2.567000,2.711000,23000.984375,3220.390137,150.732758,1.000000,1.846447,0.017438,0.045127,96.693873,0.913169,2.363186
175,469.081139,2.131226,0.993860,0.970000,0.920000,2.871000,3.025000,25710.943359,3572.652100,175.511505,1.000000,2.063057,0.021496,0.046654,96.774121,1.008317,2.188439
200,424.095782,2.357326,0.995270,0.980000,0.950000,3.173000,3.358000,28331.683594,3924.009277,200.301758,1.000000,2.282223,0.025748,0.049288,96.788094,1.091942,2.090275
225,390.363112,2.561121,0.996170,0.980000,0.960000,3.444000,3.626000,30848.839844,4258.833984,225.106018,1.000000,2.479415,0.030311,0.051434,96.787213,1.183234,2.007777
250,360.334820,2.774652,0.996580,0.980000,0.960000,3.720000,3.917000,33277.695312,4584.558105,249.922516,1.000000,2.685340,0.034965,0.054319,96.762139,1.259895,1.957299
275,336.586131,2.970346,0.997030,0.980000,0.960000,3.978000,4.197000,35622.000000,4895.584473,274.739014,1.000000,2.874154,0.039481,0.056594,96.740040,1.328881,1.904888
300,314.860809,3.175354,0.997310,0.990000,0.960000,4.248000,4.451000,37906.808594,5205.018066,299.549896,1.000000,3.070675,0.044855,0.059686,96.683511,1.412297,1.879269
325,297.604644,3.359549,0.997650,0.990000,0.960000,4.503000,4.723000,40111.421875,5488.601074,324.366516,1.000000,3.246866,0.051086,0.061597,96.628254,1.520349,1.833151
350,281.946562,3.546109,0.997840,0.990000,0.970000,4.754000,4.962000,42272.625000,5779.071289,349.223511,1.000000,3.425429,0.056432,0.064207,96.578789,1.591095,1.810283
375,267.998073,3.730786,0.998030,0.990000,0.970000,4.970000,5.227000,44386.984375,6060.329102,374.117004,1.000000,3.602188,0.062783,0.065757,96.537935,1.682560,1.762282
400,255.717535,3.909950,0.998160,0.990000,0.970000,5.233000,5.482000,46427.378906,6323.020508,398.921631,1.000000,3.771069,0.068547,0.070214,96.432836,1.752879,1.795484
425,244.409237,4.090909,0.998340,0.990000,0.970000,5.469000,5.735000,48439.277344,6596.798340,423.804779,1.000000,3.943688,0.075298,0.071742,96.387387,1.840354,1.753448
450,234.510739,4.263613,0.998430,0.990000,0.970000,5.695000,5.938000,50414.460938,6852.734375,448.711517,1.000000,4.105735,0.082790,0.075022,96.283896,1.941506,1.759335
475,225.370907,4.436573,0.998520,0.990000,0.970000,5.902000,6.177001,52349.695312,7114.388184,473.623901,1.000000,4.267072,0.089866,0.079541,96.167383,2.025316,1.792617
500,216.878469,4.610275,0.998660,0.990000,0.980000,6.110000,6.393000,54250.207031,7369.613281,498.530762,1.000000,4.431467,0.098276,0.080420,96.108979,2.131403,1.744147
525,209.165949,4.780243,0.998710,0.990000,0.980000,6.342000,6.626000,56098.882812,7603.633301,523.433655,1.000000,4.592237,0.104586,0.083211,96.053951,2.187576,1.740490
550,202.452025,4.938837,0.998860,0.990000,0.980000,6.566000,6.818000,57925.695312,7840.330566,548.303162,1.000000,4.737812,0.113474,0.087337,95.917964,2.297307,1.768160
575,195.948264,5.102804,0.998930,0.990000,0.980000,6.754000,7.060000,59719.484375,8072.409180,573.184509,1.000000,4.890988,0.122186,0.089447,95.838063,2.394212,1.752708
600,189.944813,5.264088,0.998970,0.990000,0.980000,6.948000,7.272000,61487.746094,8307.881836,598.084900,1.000000,5.041367,0.130319,0.092289,95.758152,2.475344,1.752981
