L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,713.441374,1.401086,0.985790,0.940000,0.890000,1.873000,1.957000,16946.261719,2415.005127,99.860878,1.023000,1.348464,0.010281,0.042386,96.205002,0.733495,3.023980
100,717.228063,1.393375,0.985870,0.940000,0.890000,1.863000,1.946000,16943.521484,2410.808105,99.861755,1.023000,1.340721,0.010748,0.041951,96.160282,0.770853,3.008839
100,714.294135,1.399401,0.985980,0.940000,0.880000,1.863000,1.961000,16946.750000,2414.954102,99.861504,1.026000,1.346561,0.010722,0.042126,96.184076,0.765878,3.009031
100,715.422061,1.397220,0.985780,0.940000,0.890000,1.857000,1.950000,16947.396484,2412.860107,99.863503,1.028000,1.344658,0.010707,0.041883,96.199810,0.766029,2.996419
100,714.284467,1.399421,0.985810,0.940000,0.890000,1.868000,1.960000,16946.308594,2415.274170,99.859756,1.018000,1.346594,0.010821,0.042054,96.185125,0.772918,3.003864
100,715.936822,1.396199,0.985830,0.940000,0.880000,1.860000,1.950000,16945.125000,2417.864014,99.859001,1.013000,1.343574,0.010729,0.041945,96.191413,0.768151,3.003030
125,604.724663,1.653071,0.989900,0.950000,0.910000,2.207000,2.313000,20001.152344,2816.588135,124.781631,1.015000,1.594426,0.014176,0.044481,96.418896,0.857266,2.689864
150,526.237671,1.899750,0.992460,0.960000,0.920000,2.552000,2.674000,22900.681641,3206.270264,149.710510,1.020000,1.835971,0.018145,0.045612,96.615704,0.954838,2.400255
175,471.541940,2.120131,0.993800,0.970000,0.920000,2.850000,2.987000,25630.093750,3562.860107,174.625763,1.013000,2.050680,0.022295,0.047219,96.698181,1.051325,2.226564
200,427.395174,2.339173,0.995300,0.980000,0.950000,3.136000,3.314000,28259.628906,3910.660156,199.514511,1.013000,2.262795,0.026677,0.049727,96.710786,1.140168,2.125317
225,391.335968,2.554765,0.996120,0.980000,0.950000,3.415000,3.603000,30795.892578,4252.649414,224.432388,1.006000,2.471982,0.031019,0.051786,96.737566,1.213884,2.026570
250,361.473938,2.765921,0.996520,0.980000,0.960000,3.701000,3.893000,33225.488281,4575.067383,249.329880,1.005000,2.674881,0.036054,0.054954,96.689993,1.303263,1.986429
275,337.293750,2.964201,0.997010,0.980000,0.960000,3.976000,4.196000,35585.867188,4895.462402,274.228271,1.006000,2.865969,0.041274,0.056930,96.667341,1.392149,1.920216
300,316.321502,3.160777,0.997330,0.990000,0.960000,4.218000,4.455000,37872.730469,5194.992188,299.106903,1.004000,3.054394,0.046260,0.060065,96.617058,1.463292,1.899994
325,298.592550,3.348453,0.997630,0.990000,0.960000,4.484000,4.700000,40085.882812,5492.436035,323.986389,1.006000,3.233867,0.052754,0.061741,96.560872,1.575207,1.843537
350,283.133017,3.531325,0.997870,0.990000,0.970000,4.740000,4.962000,42244.585938,5774.446289,348.885651,1.005000,3.408574,0.058330,0.064439,96.507987,1.651503,1.824469
375,268.944810,3.717647,0.998010,0.990000,0.970000,4.978000,5.194000,44371.800781,6058.013184,373.818024,1.015000,3.586531,0.064366,0.066711,96.457881,1.731099,1.794169
400,256.604979,3.896452,0.998200,0.990000,0.970000,5.220000,5.460000,46408.667969,6324.422363,398.670776,1.004000,3.755297,0.070551,0.070574,96.362796,1.810372,1.810953
425,245.586602,4.071201,0.998340,0.990000,0.970000,5.437000,5.697001,48424.277344,6594.396484,423.571899,1.005000,3.921168,0.077738,0.072196,96.298629,1.909131,1.773049
450,235.359862,4.248212,0.998470,0.990000,0.970000,5.672000,5.953000,50401.976562,6861.111328,448.499908,1.008000,4.088108,0.084874,0.075193,96.217655,1.997586,1.769745
475,225.939538,4.425440,0.998570,0.990000,0.980000,5.876000,6.164001,52341.613281,7110.440430,473.423401,1.006000,4.252623,0.092278,0.080292,96.083559,2.084936,1.814124
500,217.558810,4.595862,0.998610,0.990000,0.980000,6.112000,6.403000,54235.199219,7360.806152,498.347656,1.004000,4.415364,0.099776,0.080617,96.060124,2.170715,1.753903
525,209.956604,4.762297,0.998740,0.990000,0.980000,6.335001,6.636000,56095.859375,7606.593262,523.275024,1.003000,4.569500,0.108546,0.084189,95.939670,2.278985,1.767607
550,202.957895,4.926536,0.998840,0.990000,0.980000,6.540000,6.833000,57922.070312,7850.010254,548.153503,1.006000,4.723138,0.115345,0.087789,95.859807,2.341018,1.781739
575,193.996321,5.154193,0.998920,0.990000,0.980000,6.898000,8.294001,59716.511719,8078.864258,573.057556,1.004000,4.933096,0.127513,0.093281,95.700255,2.473713,1.809622
600,191.109395,5.232020,0.999000,0.990000,0.980000,6.910000,7.222000,61484.917969,8305.993164,597.967529,1.004000,5.006042,0.133531,0.092336,95.670161,2.551905,1.764636
