L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,87.394874,11.438926,0.953480,0.780000,0.640000,22.054001,26.961000,34020.863281,2651.020020,106.368629,1.000000,10.388450,0.017594,1.032142,90.789725,0.153765,9.020391
120,263.344759,3.793985,0.960070,0.810000,0.660000,4.854000,5.545000,38926.636719,2974.804199,126.376129,1.000000,2.820679,0.021480,0.951501,74.281114,0.565660,25.057290
140,302.252703,3.305113,0.964520,0.820000,0.680000,3.981000,4.376000,43670.066406,3318.801270,146.180634,1.000000,2.312300,0.026720,0.965675,69.889891,0.807621,29.187777
160,311.823116,3.203624,0.968940,0.840000,0.700000,3.819000,4.091000,48329.003906,3637.600098,166.113876,1.000000,2.190283,0.031887,0.981063,68.298081,0.994305,30.591801
180,307.768316,3.245842,0.971480,0.850000,0.710000,3.815000,4.020000,53001.101562,3972.084229,186.013321,1.000000,2.210293,0.037436,0.997712,68.025810,1.152176,30.706418
200,300.493071,3.324483,0.973970,0.870000,0.710000,3.914000,4.125000,57504.714844,4288.496094,205.977142,1.000000,2.275214,0.042907,1.006043,68.368610,1.289311,30.230887
220,292.083664,3.420355,0.975990,0.880000,0.730000,4.037000,4.251000,61997.980469,4617.889160,225.932388,1.000000,2.361392,0.049115,1.009489,68.972410,1.434567,29.485519
240,285.560749,3.498544,0.977650,0.890000,0.740000,4.139000,4.379000,66396.421875,4944.236328,245.833572,1.000000,2.427940,0.054762,1.015446,69.332433,1.563791,28.997157
260,275.425427,3.627419,0.979090,0.890000,0.770000,4.283000,4.581000,70661.968750,5239.704102,265.800018,1.000000,2.546744,0.061697,1.018540,70.143808,1.699299,28.053179
280,265.921797,3.757157,0.980510,0.900000,0.770000,4.442000,4.718000,74935.703125,5564.465332,285.748199,1.000000,2.668224,0.068414,1.020066,70.953882,1.819283,27.125785
300,256.685521,3.892462,0.981710,0.900000,0.780000,4.652000,4.986000,79110.578125,5865.647461,305.707458,1.000000,2.793235,0.075469,1.023352,71.698294,1.937180,26.267968
320,249.870648,3.998748,0.982750,0.910000,0.800000,4.830000,5.164000,83293.507812,6158.677246,325.682343,1.000000,2.888243,0.082790,1.027217,72.168720,2.068688,25.667136
340,241.068003,4.144873,0.983900,0.920000,0.810000,4.984000,5.404000,87411.007812,6450.885254,345.609772,1.000000,3.022666,0.091325,1.030321,72.866805,2.201560,24.837746
360,234.027047,4.269673,0.984600,0.920000,0.810000,5.111000,5.413000,91461.742188,6754.747559,365.562012,1.000000,3.141250,0.099257,1.028603,73.513744,2.322877,24.072100
380,227.319164,4.395753,0.985250,0.920000,0.810000,5.333000,5.614000,95476.953125,7063.349121,385.483398,1.000000,3.260407,0.107385,1.027397,74.115309,2.441065,23.354701
400,222.373870,4.493552,0.986170,0.930000,0.820000,5.416000,5.846000,99415.648438,7328.366211,405.444275,1.000000,3.349854,0.114756,1.028438,74.491989,2.551881,22.869781
420,236.330024,4.228005,0.986730,0.930000,0.820000,5.017000,5.302000,103377.109375,7596.814453,425.398651,1.000000,3.076148,0.124386,1.027040,72.698603,2.939622,24.272039
440,229.400560,4.355836,0.987210,0.930000,0.820000,5.190000,5.433000,107285.531250,7894.515137,445.372467,1.000000,3.188683,0.133113,1.033555,73.148567,3.053612,23.709816
460,218.611491,4.570986,0.987900,0.940000,0.840000,5.525000,7.156000,111170.882812,8190.943359,465.353821,1.000000,3.381397,0.145056,1.044050,73.921214,3.171086,22.824122
480,216.221308,4.621537,0.988440,0.940000,0.850000,5.512000,5.848000,115044.351562,8459.141602,485.239838,1.000000,3.432904,0.152661,1.035509,74.226689,3.300853,22.389913
500,210.354344,4.750524,0.988980,0.940000,0.860000,5.647000,5.985000,118870.117188,8742.284180,505.252594,1.000000,3.549522,0.163466,1.037010,74.665731,3.438578,21.813955
520,204.604668,4.884132,0.989340,0.940000,0.850000,5.842000,6.201000,122619.859375,9002.795898,525.205811,1.000000,3.669327,0.173076,1.041144,75.076134,3.541224,21.302285
540,199.100117,5.019238,0.989730,0.950000,0.860000,6.010000,6.364000,126416.570312,9287.729492,545.139038,1.000000,3.792745,0.185772,1.040079,75.513595,3.698731,20.707983
560,194.172213,5.146729,0.990150,0.950000,0.860000,6.179000,6.534000,130107.171875,9551.516602,565.096863,1.000000,3.903809,0.195536,1.046725,75.801129,3.796764,20.324496
580,190.756266,5.238925,0.990640,0.950000,0.860000,6.303000,6.655000,133802.312500,9826.589844,584.992676,1.000000,3.985884,0.206803,1.045615,76.033239,3.944889,19.945761
600,186.993954,5.344377,0.990780,0.950000,0.870000,6.444000,6.803000,137393.328125,10079.992188,604.770813,1.000000,4.080826,0.217440,1.045434,76.308975,4.066003,19.548984
620,182.434199,5.478103,0.991210,0.950000,0.870000,6.619000,6.963000,141028.453125,10346.214844,624.653137,1.000000,4.199475,0.229959,1.047925,76.612791,4.195234,19.117740
640,178.357400,5.603358,0.991470,0.950000,0.880000,6.792000,7.184000,144632.812500,10616.949219,644.594055,1.000000,4.317303,0.240900,1.044457,77.002297,4.296630,18.628663
