128 100000000
only use first 1k query
L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,93.609088,10.679307,0.950910,0.770000,0.630000,20.231001,27.427002,27532.861328,2397.301025,86.941879,1.040000,9.019014,0.016103,1.643437,84.426164,0.150739,15.384067
120,303.823029,3.288072,0.958610,0.790000,0.660000,4.489000,5.137000,33024.210938,2774.330078,108.683884,1.037000,2.191619,0.020339,1.075727,66.586437,0.617961,32.683063
140,314.562225,3.175663,0.963720,0.820000,0.670000,4.216000,4.757000,38122.503906,3133.285156,128.965317,1.029000,2.046630,0.024767,1.103867,64.379253,0.779066,34.723495
160,263.607628,3.790149,0.967770,0.840000,0.690000,4.914000,5.515000,43087.445312,3506.139160,149.129639,1.026000,2.605015,0.029064,1.155635,68.670184,0.766148,30.463417
180,264.176425,3.782008,0.970950,0.860000,0.690000,4.984000,5.492000,48097.699219,3860.051270,170.132263,1.028000,2.593123,0.033846,1.154606,68.504208,0.894123,30.501978
200,332.191734,3.006943,0.973750,0.870000,0.720000,3.724000,4.076000,53047.726562,4189.603027,192.012634,1.035000,1.854686,0.038880,1.113044,61.611152,1.291557,36.974410
220,335.435356,2.977855,0.975410,0.880000,0.730000,3.665000,3.949000,57813.242188,4517.532227,213.076828,1.036000,1.808538,0.044002,1.124923,60.664749,1.475969,37.733886
240,326.187664,3.062322,0.977290,0.890000,0.740000,3.753000,4.037000,62483.804688,4852.112305,233.962265,1.026000,1.880637,0.049364,1.131984,61.344057,1.610203,36.923929
260,307.719203,3.246346,0.978870,0.890000,0.760000,4.149000,4.557000,66941.187500,5164.444336,254.488144,1.023000,2.053382,0.055589,1.136984,63.186520,1.710579,34.987170
280,288.077517,3.467919,0.980080,0.890000,0.760000,4.365000,4.849000,71428.437500,5509.135254,275.132629,1.023000,2.259632,0.061650,1.146197,65.094914,1.775992,33.019347
300,296.102683,3.373790,0.981710,0.900000,0.770000,4.136000,4.442000,75743.078125,5810.728516,295.615326,1.031000,2.162145,0.067974,1.143269,64.021691,2.012724,33.852497
320,307.883070,3.244641,0.982960,0.910000,0.800000,4.113000,4.562000,79985.312500,6110.720215,315.841461,1.016000,2.042700,0.074100,1.127503,62.891269,2.281421,34.713899
340,300.795663,3.321135,0.983670,0.910000,0.800000,4.123000,5.963000,84134.914062,6405.277344,336.034882,1.019000,2.091514,0.083333,1.145996,62.911844,2.506628,34.471051
360,297.996195,3.352373,0.984540,0.920000,0.820000,4.107000,4.326000,88204.679688,6696.343262,356.033325,1.024000,2.126557,0.087880,1.137601,63.370593,2.618795,33.900067
380,285.444304,3.499963,0.985230,0.920000,0.810000,4.291000,4.550000,92246.492188,6984.033203,376.048584,1.024000,2.254980,0.095462,1.149188,64.367115,2.724904,32.802911
400,276.792960,3.609412,0.986110,0.930000,0.820000,4.420000,4.720000,96194.117188,7263.117188,395.933655,1.021000,2.358632,0.103059,1.147389,65.285282,2.852602,31.758911
420,266.276671,3.752089,0.986640,0.930000,0.820000,4.628000,4.996000,100125.156250,7543.734375,415.826263,1.025000,2.486058,0.111345,1.154318,66.197931,2.964853,30.736792
440,256.996842,3.887833,0.987130,0.930000,0.830000,4.824000,5.151000,104022.812500,7810.254395,435.767395,1.020000,2.611087,0.119746,1.156582,67.104107,3.077446,29.723789
460,248.625516,4.018723,0.987690,0.940000,0.830000,4.985000,5.332000,107894.148438,8086.136230,455.726349,1.016000,2.728970,0.129027,1.160293,67.849147,3.207950,28.847835
480,241.277392,4.141185,0.988250,0.940000,0.840000,5.113000,5.405000,111742.414062,8367.875977,475.612213,1.019000,2.839559,0.137635,1.163519,68.512141,3.320815,28.073086
500,234.633143,4.258559,0.988760,0.940000,0.850000,5.262000,5.634000,115574.640625,8628.672852,495.559723,1.016000,2.941986,0.147174,1.168955,69.028750,3.453193,27.427561
520,229.510741,4.353684,0.989100,0.940000,0.860000,5.395000,5.717000,119344.484375,8889.548828,515.423157,1.024000,3.027071,0.155576,1.170603,69.474542,3.570631,26.866586
540,222.906674,4.482808,0.989660,0.950000,0.860000,5.548000,5.889000,123077.570312,9148.416992,535.325012,1.010000,3.140445,0.165653,1.176217,70.002610,3.692510,26.218653
560,216.374852,4.618168,0.990050,0.950000,0.870000,5.727000,6.109000,126801.265625,9432.871094,555.219238,1.015000,3.260114,0.174901,1.182695,70.540662,3.784423,25.590539
580,210.563911,4.745741,0.990340,0.950000,0.870000,5.881000,6.331000,130498.781250,9685.927734,575.129272,1.017000,3.371294,0.186326,1.187542,70.987275,3.923354,25.005353
600,205.355086,4.866240,0.990660,0.950000,0.870000,6.059000,6.508000,134152.812500,9942.351562,594.909973,1.020000,3.480770,0.195829,1.189066,71.479389,4.021446,24.418083
620,200.195651,4.991688,0.991090,0.950000,0.870000,6.214000,6.624001,137777.343750,10191.852539,614.769409,1.009000,3.590970,0.207008,1.193161,71.889658,4.144217,23.886574
640,195.201029,5.119555,0.991370,0.950000,0.870000,6.391000,6.813000,141366.109375,10434.259766,634.655334,1.019000,3.705669,0.217524,1.195814,72.335034,4.246083,23.342420
660,184.517701,5.416177,0.991660,0.950000,0.870000,6.745000,8.330000,144998.937500,10700.290039,654.507690,1.015000,3.972751,0.229259,1.213485,73.304291,4.230235,22.390951
680,178.658149,5.593931,0.991940,0.960000,0.880000,7.072001,10.094001,148541.359375,10943.888672,674.313477,1.010000,4.121956,0.240026,1.231321,73.642097,4.288269,21.998559
700,174.121005,5.739757,0.992120,0.960000,0.880000,7.211000,10.514001,152150.531250,11206.163086,694.307861,1.014000,4.235535,0.251663,1.251924,73.749568,4.381989,21.798619
