L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,702.731798,1.419706,0.726200,0.320000,0.180000,1.648000,1.793000,3986.114258,592.402039,17.958376,19.129000,0.717332,0.079352,0.621105,50.409176,5.576310,43.647003
120,872.971699,1.142131,0.750460,0.350000,0.210000,1.318000,1.423000,4449.498047,651.376038,20.309252,21.402000,0.424127,0.097600,0.618419,37.025054,8.520161,53.986223
140,823.893143,1.210177,0.769260,0.360000,0.240000,1.378000,1.457000,4895.211426,709.925049,22.615376,23.716000,0.456394,0.122021,0.629463,37.602024,10.053243,51.861041
160,790.658783,1.261414,0.785850,0.400000,0.250000,1.436000,1.538000,5346.008301,767.834045,25.020126,26.011000,0.476672,0.142912,0.639450,37.688523,11.299493,50.558663
180,735.638966,1.356007,0.799620,0.410000,0.260000,1.539000,1.655000,5784.624512,823.269043,27.431376,28.453000,0.537815,0.172184,0.643352,39.563739,12.666508,47.327465
200,712.984375,1.399158,0.811550,0.430000,0.280000,1.584000,1.729000,6231.956055,882.031067,29.865627,30.767000,0.551376,0.198289,0.646692,39.312272,14.137690,46.108115
500,272.702920,3.663637,0.894090,0.600000,0.430000,4.430000,4.875000,12448.415039,1679.233032,66.739128,67.606000,2.207854,0.739639,0.710271,60.208824,20.170166,19.369301
600,309.888227,3.223595,0.906420,0.630000,0.470000,3.715000,3.908000,14396.468750,1930.907104,79.031502,79.788000,1.494133,0.990614,0.731598,46.301430,30.697967,22.671365
700,248.710007,4.017384,0.915800,0.650000,0.490000,4.976000,7.940001,16280.848633,2166.432129,91.293755,92.101000,1.965729,1.283778,0.759983,48.889647,31.928848,18.901545
800,185.680573,5.382225,0.923870,0.680000,0.520000,6.470000,7.094000,18117.140625,2399.577148,103.480881,104.187000,3.010074,1.575095,0.787946,55.891220,29.246457,14.630631
900,195.341470,5.115844,0.930390,0.690000,0.530000,6.103000,6.626000,19954.691406,2630.422119,115.848877,116.589000,2.406747,1.908631,0.790436,47.013742,37.283480,15.440489
1000,180.503507,5.536673,0.935530,0.710000,0.550000,6.493001,6.867000,21777.537109,2863.093018,128.275253,128.924000,2.469864,2.254877,0.800921,44.581905,40.701322,14.456913
1100,133.626695,7.480203,0.940190,0.730000,0.570000,9.231001,10.323001,23564.275391,3086.436035,140.699631,141.494000,3.968104,2.670472,0.829721,53.024464,35.684630,11.087287
1200,126.449356,7.904911,0.943820,0.750000,0.580000,9.742001,11.283001,25332.224609,3307.335205,153.164627,153.800000,3.921252,3.105076,0.865731,49.583985,39.263487,10.947107
1300,125.263263,7.979823,0.946950,0.760000,0.590000,9.668000,10.238001,27066.636719,3523.118164,165.590378,166.308000,3.567126,3.539228,0.859528,44.682988,44.333521,10.766732
1400,114.271312,8.747756,0.949860,0.760000,0.620000,10.483001,11.570001,28800.753906,3738.921143,178.101639,178.727000,3.836624,4.028320,0.868034,43.841605,46.032145,9.919137
1500,106.586050,9.378736,0.952340,0.770000,0.630000,11.069000,11.720000,30490.990234,3950.619141,190.519760,191.228000,3.926431,4.558244,0.877875,41.850281,48.584525,9.356919
1600,111.718409,8.947719,0.954690,0.780000,0.630000,10.694000,11.582001,32175.216797,4161.453125,203.008881,203.615000,2.936311,5.123816,0.870659,32.803994,57.242455,9.726865
1700,111.588698,8.958114,0.956860,0.800000,0.640000,10.377001,10.978001,33842.722656,4366.790039,215.454514,216.149000,2.359389,5.704724,0.875927,26.328118,63.658276,9.774352
1800,103.282504,9.678819,0.958880,0.800000,0.640000,11.228001,11.817000,35497.476562,4571.287109,227.936386,228.534000,2.465017,6.304258,0.890371,25.459311,65.111951,9.195975
1900,95.469619,10.471148,0.960630,0.810000,0.660000,12.183001,12.687000,37131.226562,4772.475098,240.384506,241.083000,2.583125,6.961942,0.906126,24.660995,66.465394,8.650755
2000,84.788167,11.790752,0.962310,0.820000,0.660000,13.880001,14.769001,38756.265625,4974.168457,252.887634,253.480000,3.157816,7.690488,0.921001,26.774544,65.206237,7.808998
2200,52.266251,19.129421,0.965370,0.830000,0.670000,23.827002,25.498001,41949.746094,5369.082031,277.804138,278.369000,8.899066,9.106291,1.100303,46.512081,47.595171,5.750873
2400,50.605427,19.757414,0.967620,0.840000,0.680000,23.688002,25.913002,45085.890625,5755.417480,302.581268,303.124000,8.116086,10.521279,1.094795,41.071802,53.243379,5.540256
2600,54.633147,18.300573,0.969460,0.850000,0.680000,22.015001,24.052002,48195.238281,6140.531250,327.495514,328.054000,4.991357,12.207026,1.074756,27.269352,66.690823,5.871732
2800,52.958364,18.879452,0.971470,0.860000,0.700000,22.041000,23.176001,51222.386719,6523.116211,352.212402,352.750000,3.790040,13.974058,1.085925,20.071434,74.004325,5.750880
3000,44.747314,22.344395,0.973150,0.870000,0.720000,26.329000,27.739002,54226.539062,6891.519531,376.961761,377.475000,5.111757,16.086279,1.114286,22.873738,71.981778,4.986129
3200,38.277169,26.121901,0.974460,0.870000,0.730000,31.048002,32.917000,57219.324219,7258.995117,401.833130,402.337000,6.638439,18.306036,1.142835,25.410064,70.070322,4.374448
3400,36.063170,27.725780,0.975820,0.880000,0.740000,33.095001,36.090000,60171.593750,7616.435547,426.690643,427.210000,6.092303,20.442134,1.154861,21.970776,73.720818,4.164797
