L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,93.768466,10.661214,0.917300,0.660000,0.490000,17.341002,21.014002,17613.769531,2540.541016,100.081757,1.062000,9.735831,0.010657,0.914207,91.291396,0.099925,8.572381
100,334.707271,2.984376,0.916890,0.650000,0.490000,4.257000,4.976000,17616.632812,2542.701172,100.120132,1.065000,2.227625,0.010234,0.746318,74.560233,0.342527,24.979802
100,442.425907,2.256907,0.917740,0.660000,0.490000,3.146000,3.810000,17543.292969,2511.106201,100.136253,1.078000,1.503928,0.010469,0.742299,66.537679,0.463195,32.841245
100,452.215897,2.207976,0.917850,0.650000,0.480000,2.882000,8.898001,17534.552734,2505.649170,100.110878,1.095000,1.398893,0.010878,0.797996,63.260149,0.491924,36.086650
100,542.174216,1.841079,0.917640,0.660000,0.490000,2.390000,3.003000,17514.435547,2503.543213,100.136757,1.089000,1.126239,0.010294,0.704315,61.061791,0.558138,38.186128
100,564.004725,1.769728,0.917880,0.660000,0.480000,2.242000,2.734000,17495.869141,2492.822998,100.138382,1.091000,1.053081,0.010452,0.705950,59.394255,0.589513,39.815915
100,565.586422,1.764739,0.918090,0.660000,0.490000,2.296000,2.781000,17498.511719,2496.932129,100.124626,1.083000,1.040960,0.010864,0.712689,58.875288,0.614454,40.308704
120,345.630562,2.889906,0.927430,0.680000,0.510000,4.727000,5.760000,20466.808594,2939.435059,119.983009,1.082000,2.136340,0.013425,0.739887,73.838453,0.464013,25.572756
140,316.292797,3.158302,0.937240,0.730000,0.540000,4.758000,5.619000,23305.769531,3322.676270,140.038635,1.076000,2.379809,0.016103,0.762155,75.271641,0.509327,24.106423
160,323.657518,3.086362,0.944120,0.740000,0.590000,4.184000,4.973000,25928.105469,3655.541260,160.130386,1.066000,2.288764,0.018937,0.778420,74.077568,0.612922,25.194148
180,318.423979,3.137118,0.948970,0.770000,0.590000,4.165000,4.894000,28621.277344,4024.763184,180.095001,1.063000,2.322002,0.022717,0.792150,73.938102,0.723356,25.223971
200,329.316887,3.033265,0.953240,0.780000,0.620000,3.881000,4.301000,31161.697266,4367.591309,200.114761,1.042000,2.203148,0.026134,0.803776,72.553388,0.860645,26.469710
220,326.999386,3.054812,0.956770,0.800000,0.630000,3.899000,4.688000,33730.546875,4725.296387,220.130630,1.057000,2.213872,0.029238,0.811470,72.393493,0.956096,26.535012
240,322.963354,3.092976,0.959860,0.800000,0.650000,3.849000,4.302000,36201.761719,5052.285156,240.129135,1.049000,2.234719,0.033251,0.824803,72.173220,1.073879,26.638126
260,318.339496,3.137998,0.962530,0.820000,0.660000,3.932000,4.336000,38677.972656,5397.140137,260.129883,1.059000,2.267444,0.037047,0.833273,72.181695,1.179365,26.526361
280,310.430364,3.218028,0.964770,0.820000,0.670000,3.955000,4.309000,41104.203125,5711.493164,280.127258,1.049000,2.332415,0.041763,0.843607,72.405254,1.296460,26.188136
300,303.755815,3.288798,0.966630,0.840000,0.680000,4.083000,4.430000,43521.203125,6052.442383,300.117645,1.040000,2.393064,0.045834,0.849627,72.690711,1.392244,25.807907
320,298.348217,3.348529,0.968540,0.850000,0.680000,4.139000,4.427000,45902.578125,6385.438477,320.127014,1.056000,2.444887,0.050353,0.853065,72.942780,1.502260,25.451050
340,292.016758,3.421199,0.969910,0.860000,0.700000,4.259000,4.529000,48249.750000,6696.449219,340.114014,1.042000,2.504737,0.054683,0.861499,73.142515,1.596848,25.157203
360,281.260925,3.552129,0.971450,0.860000,0.710000,4.441000,4.742000,50597.656250,7018.619141,360.124634,1.049000,2.626217,0.060472,0.865172,73.865226,1.700848,24.333898
380,278.602166,3.586035,0.972910,0.870000,0.710000,4.454000,4.726000,52888.835938,7327.154297,380.106018,1.042000,2.649343,0.065098,0.871344,73.811277,1.813652,24.275835
400,270.513760,3.693374,0.974090,0.870000,0.720000,4.578000,5.035000,55170.832031,7642.445312,400.095032,1.035000,2.748341,0.069730,0.875038,74.346395,1.886281,23.670986
