L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,1029.86,0.970167,0.91559,0.65,0.49,1.11,1.184,17095.5,2261.35,0,0.34976,0.0106268,0.606885,36.0516,1.09536,62.5547
120,969.746,1.03021,0.92749,0.7,0.52,1.208,1.281,19693.2,2598.07,0,0.397523,0.0109317,0.618192,38.5865,1.06111,60.0062
140,898.591,1.11181,0.93343,0.71,0.53,1.321,1.396,22198.6,2922.43,0,0.454614,0.0112317,0.641837,40.8894,1.01021,57.7288
160,858.165,1.16417,0.9393,0.73,0.57,1.393,1.471,24649.1,3237,0,0.503494,0.0112309,0.645558,43.2492,0.964716,55.4522
180,810.741,1.23242,0.94603,0.76,0.59,1.501,1.586,27094.5,3553.22,0,0.555501,0.011327,0.66107,45.0741,0.919089,53.6401
200,775.694,1.28818,0.95138,0.77,0.62,1.564,1.654,29490.2,3865.53,0,0.607255,0.0113647,0.666444,47.1407,0.882232,51.7355
220,746.593,1.33841,0.95383,0.78,0.62,1.64,1.747,31690.6,4146.43,0,0.653502,0.0115612,0.671491,48.8266,0.863795,50.1706
240,710.472,1.40655,0.95756,0.8,0.65,1.739,1.835,34098.4,4462.07,0,0.703441,0.0116165,0.689669,50.0119,0.825886,49.0328
260,682.336,1.4646,0.95974,0.81,0.66,1.816,1.933,36354.3,4753.82,0,0.752445,0.0118241,0.698241,51.3754,0.807327,47.6745
280,658.51,1.51759,0.96313,0.82,0.68,1.891,2.012,38630.5,5048.9,0,0.802616,0.0117803,0.7006,52.8875,0.776248,46.1653
300,634.593,1.5749,0.96482,0.83,0.68,1.967,2.091,40781.9,5326.82,0,0.847586,0.0114496,0.713294,53.8185,0.727005,45.2915
320,578.569,1.72709,0.96648,0.83,0.68,2.123,2.273,42443,5578.46,0,0.936277,0.0113144,0.777764,54.2112,0.655112,45.0331
340,564.432,1.77079,0.96859,0.85,0.7,2.192,2.332,44663.6,5859.17,0,0.979967,0.0115519,0.777534,55.3406,0.652355,43.9088
360,549.94,1.81741,0.96991,0.85,0.7,2.267,2.407,46832.6,6144.36,0,1.0216,0.0114062,0.779988,56.2118,0.627606,42.9175
380,533.401,1.87378,0.97091,0.86,0.71,2.363,2.497,48918.2,6413.92,0,1.07067,0.0115385,0.787011,57.1398,0.615788,42.0013
400,518.67,1.92709,0.97219,0.86,0.72,2.446,2.625,51041.1,6697.44,0,1.12724,0.0116959,0.785911,58.4943,0.606918,40.7822
420,504.993,1.97929,0.97347,0.87,0.73,2.52,2.679,53065.3,6947.88,0,1.1735,0.0118403,0.791698,59.2887,0.598211,39.9991
440,492.436,2.0298,0.97454,0.87,0.74,2.564,2.712,55098.5,7205.42,0,1.2195,0.0117812,0.796263,60.0797,0.580412,39.2286
460,481.133,2.07746,0.97516,0.88,0.74,2.662,2.809,57227.4,7485.2,0,1.26835,0.0118392,0.795028,61.0527,0.569886,38.2692
480,471.02,2.12213,0.97643,0.88,0.74,2.715,2.888,59165.2,7736.63,0,1.30932,0.0116472,0.798899,61.6984,0.548847,37.6462
500,458.972,2.17782,0.97673,0.89,0.75,2.777,2.941,61220.8,7999.47,0,1.36024,0.0117064,0.803589,62.4589,0.537527,36.8988
520,449.501,2.22373,0.97686,0.88,0.75,2.869,3.102,63215.2,8262.32,0,1.40993,0.0118015,0.79969,63.4035,0.530706,35.9616
540,440.039,2.27158,0.97845,0.89,0.75,2.933,3.099,65132.3,8511.82,0,1.4521,0.0117629,0.805361,63.9247,0.517828,35.4538
560,429.86,2.32536,0.97898,0.89,0.77,2.996,3.211,67119.1,8767.08,0,1.50283,0.0118282,0.808365,64.6279,0.508661,34.7631
580,422.257,2.36728,0.98,0.9,0.77,3.077,3.257,69169,9039.98,0,1.54684,0.0116744,0.806336,65.3427,0.493157,34.0617
600,413.966,2.4147,0.98051,0.9,0.78,3.143,3.385,71103.7,9282.39,0,1.59101,0.0116725,0.809606,65.8885,0.483394,33.5283
